efta_number,filename,url,first_seen,last_verified
02730265,EFTA02730265.pdf,https://www.justice.gov/epstein/files/DataSet%2012/EFTA02730265.pdf,2026-02-15T07:24:54Z,2026-02-15T07:25:35Z
02730267,EFTA02730267.pdf,https://www.justice.gov/epstein/files/DataSet%2012/EFTA02730267.pdf,2026-02-15T07:24:54Z,2026-02-15T07:25:35Z
02730271,EFTA02730271.pdf,https://www.justice.gov/epstein/files/DataSet%2012/EFTA02730271.pdf,2026-02-15T07:24:54Z,2026-02-15T07:25:35Z
02730468,EFTA02730468.pdf,https://www.justice.gov/epstein/files/DataSet%2012/EFTA02730468.pdf,2026-02-15T07:24:54Z,2026-02-15T07:25:35Z
02730469,EFTA02730469.pdf,https://www.justice.gov/epstein/files/DataSet%2012/EFTA02730469.pdf,2026-02-15T07:24:54Z,2026-02-15T07:25:35Z
02730471,EFTA02730471.pdf,https://www.justice.gov/epstein/files/DataSet%2012/EFTA02730471.pdf,2026-02-15T07:24:54Z,2026-02-15T07:25:35Z
02730473,EFTA02730473.pdf,https://www.justice.gov/epstein/files/DataSet%2012/EFTA02730473.pdf,2026-02-15T07:24:54Z,2026-02-15T07:25:35Z
02730477,EFTA02730477.pdf,https://www.justice.gov/epstein/files/DataSet%2012/EFTA02730477.pdf,2026-02-15T07:24:54Z,2026-02-15T07:25:35Z
02730481,EFTA02730481.pdf,https://www.justice.gov/epstein/files/DataSet%2012/EFTA02730481.pdf,2026-02-15T07:24:54Z,2026-02-15T07:25:35Z
02730483,EFTA02730483.pdf,https://www.justice.gov/epstein/files/DataSet%2012/EFTA02730483.pdf,2026-02-15T07:24:54Z,2026-02-15T07:25:35Z
02730485,EFTA02730485.pdf,https://www.justice.gov/epstein/files/DataSet%2012/EFTA02730485.pdf,2026-02-15T07:24:54Z,2026-02-15T07:25:35Z
02730486,EFTA02730486.pdf,https://www.justice.gov/epstein/files/DataSet%2012/EFTA02730486.pdf,2026-02-15T07:24:54Z,2026-02-15T07:25:35Z
02730996,EFTA02730996.pdf,https://www.justice.gov/epstein/files/DataSet%2012/EFTA02730996.pdf,2026-02-15T07:24:54Z,2026-02-15T07:25:35Z
02731018,EFTA02731018.pdf,https://www.justice.gov/epstein/files/DataSet%2012/EFTA02731018.pdf,2026-02-15T07:24:54Z,2026-02-15T07:25:35Z
02731023,EFTA02731023.pdf,https://www.justice.gov/epstein/files/DataSet%2012/EFTA02731023.pdf,2026-02-15T07:24:54Z,2026-02-15T07:25:35Z
02731039,EFTA02731039.pdf,https://www.justice.gov/epstein/files/DataSet%2012/EFTA02731039.pdf,2026-02-15T07:24:54Z,2026-02-15T07:25:35Z
02731069,EFTA02731069.pdf,https://www.justice.gov/epstein/files/DataSet%2012/EFTA02731069.pdf,2026-02-15T07:24:54Z,2026-02-15T07:25:35Z
02731168,EFTA02731168.pdf,https://www.justice.gov/epstein/files/DataSet%2012/EFTA02731168.pdf,2026-02-15T07:24:54Z,2026-02-15T07:25:35Z
02731226,EFTA02731226.pdf,https://www.justice.gov/epstein/files/DataSet%2012/EFTA02731226.pdf,2026-02-15T07:24:54Z,2026-02-15T07:25:35Z
02731254,EFTA02731254.pdf,https://www.justice.gov/epstein/files/DataSet%2012/EFTA02731254.pdf,2026-02-15T07:24:54Z,2026-02-15T07:25:35Z
02731341,EFTA02731341.pdf,https://www.justice.gov/epstein/files/DataSet%2012/EFTA02731341.pdf,2026-02-15T07:24:54Z,2026-02-15T07:25:35Z
02731361,EFTA02731361.pdf,https://www.justice.gov/epstein/files/DataSet%2012/EFTA02731361.pdf,2026-02-15T07:24:54Z,2026-02-15T07:25:35Z
02731393,EFTA02731393.pdf,https://www.justice.gov/epstein/files/DataSet%2012/EFTA02731393.pdf,2026-02-15T07:24:54Z,2026-02-15T07:25:35Z
02731410,EFTA02731410.pdf,https://www.justice.gov/epstein/files/DataSet%2012/EFTA02731410.pdf,2026-02-15T07:24:54Z,2026-02-15T07:25:35Z
02731411,EFTA02731411.pdf,https://www.justice.gov/epstein/files/DataSet%2012/EFTA02731411.pdf,2026-02-15T07:24:54Z,2026-02-15T07:25:35Z
02731412,EFTA02731412.pdf,https://www.justice.gov/epstein/files/DataSet%2012/EFTA02731412.pdf,2026-02-15T07:24:54Z,2026-02-15T07:25:35Z
02731413,EFTA02731413.pdf,https://www.justice.gov/epstein/files/DataSet%2012/EFTA02731413.pdf,2026-02-15T07:24:54Z,2026-02-15T07:25:35Z
02731414,EFTA02731414.pdf,https://www.justice.gov/epstein/files/DataSet%2012/EFTA02731414.pdf,2026-02-15T07:24:54Z,2026-02-15T07:25:35Z
02731415,EFTA02731415.pdf,https://www.justice.gov/epstein/files/DataSet%2012/EFTA02731415.pdf,2026-02-15T07:24:54Z,2026-02-15T07:25:35Z
02731416,EFTA02731416.pdf,https://www.justice.gov/epstein/files/DataSet%2012/EFTA02731416.pdf,2026-02-15T07:24:54Z,2026-02-15T07:25:35Z
02731417,EFTA02731417.pdf,https://www.justice.gov/epstein/files/DataSet%2012/EFTA02731417.pdf,2026-02-15T07:24:54Z,2026-02-15T07:25:35Z
02731418,EFTA02731418.pdf,https://www.justice.gov/epstein/files/DataSet%2012/EFTA02731418.pdf,2026-02-15T07:24:54Z,2026-02-15T07:25:35Z
02731419,EFTA02731419.pdf,https://www.justice.gov/epstein/files/DataSet%2012/EFTA02731419.pdf,2026-02-15T07:24:54Z,2026-02-15T07:25:35Z
02731420,EFTA02731420.pdf,https://www.justice.gov/epstein/files/DataSet%2012/EFTA02731420.pdf,2026-02-15T07:24:54Z,2026-02-15T07:25:35Z
02731433,EFTA02731433.pdf,https://www.justice.gov/epstein/files/DataSet%2012/EFTA02731433.pdf,2026-02-15T07:24:54Z,2026-02-15T07:25:35Z
02731465,EFTA02731465.pdf,https://www.justice.gov/epstein/files/DataSet%2012/EFTA02731465.pdf,2026-02-15T07:24:54Z,2026-02-15T07:25:35Z
02731473,EFTA02731473.pdf,https://www.justice.gov/epstein/files/DataSet%2012/EFTA02731473.pdf,2026-02-15T07:24:54Z,2026-02-15T07:25:35Z
02731475,EFTA02731475.pdf,https://www.justice.gov/epstein/files/DataSet%2012/EFTA02731475.pdf,2026-02-15T07:24:54Z,2026-02-15T07:25:35Z
02731477,EFTA02731477.pdf,https://www.justice.gov/epstein/files/DataSet%2012/EFTA02731477.pdf,2026-02-15T07:24:54Z,2026-02-15T07:25:35Z
02731478,EFTA02731478.pdf,https://www.justice.gov/epstein/files/DataSet%2012/EFTA02731478.pdf,2026-02-15T07:24:54Z,2026-02-15T07:25:35Z
02731479,EFTA02731479.pdf,https://www.justice.gov/epstein/files/DataSet%2012/EFTA02731479.pdf,2026-02-15T07:24:54Z,2026-02-15T07:25:35Z
02731480,EFTA02731480.pdf,https://www.justice.gov/epstein/files/DataSet%2012/EFTA02731480.pdf,2026-02-15T07:24:54Z,2026-02-15T07:25:35Z
02731482,EFTA02731482.pdf,https://www.justice.gov/epstein/files/DataSet%2012/EFTA02731482.pdf,2026-02-15T07:24:54Z,2026-02-15T07:25:35Z
